Epoch [43/50], Loss: 16.5534, gated: 2
Epoch [44/50], Loss: 16.5534, gated: 0
Epoch [44/50], Loss: 16.5534, gated: 1
Epoch [44/50], Loss: 16.5534, gated: 2
Epoch [45/50], Loss: 16.5534, gated: 0
Epoch [45/50], Loss: 16.5534, gated: 1
Epoch [45/50], Loss: 16.5534, gated: 2
Epoch [46/50], Loss: 16.5534, gated: 0
Epoch [46/50], Loss: 16.5534, gated: 1
Epoch [46/50], Loss: 16.5534, gated: 2
Epoch [47/50], Loss: 16.5534, gated: 0
Epoch [47/50], Loss: 16.5534, gated: 1
Epoch [47/50], Loss: 16.5534, gated: 2
Epoch [48/50], Loss: 16.5534, gated: 0
Epoch [48/50], Loss: 16.5534, gated: 1
Epoch [48/50], Loss: 16.5534, gated: 2
Epoch [49/50], Loss: 16.5534, gated: 0
Epoch [49/50], Loss: 16.5534, gated: 1
Epoch [49/50], Loss: 16.5534, gated: 2
Epoch [50/50], Loss: 16.5534, gated: 0
Epoch [50/50], Loss: 16.5534, gated: 1
Epoch [50/50], Loss: 16.5534, gated: 2
