Epoch [1/50], Batch: 70 Loss: 0.1330, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 70 Loss: 0.0328, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.3899, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.0915, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0204, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.0605, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.0671, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0483, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.0436, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.0728, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0232, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.3265, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.1075, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0274, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.0675, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.0639, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0398, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.0489, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.0860, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0324, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.3826, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0906, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0249, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.0616, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0679, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0467, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.0489, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0698, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0312, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 110 Loss: 0.3245, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 110 Loss: 0.0666, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 110 Loss: 0.0127, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 110 Loss: 0.0641, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 110 Loss: 0.0667, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 110 Loss: 0.0231, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 110 Loss: 0.0322, n.gate: 2, t.gate: GateMLP
