Epoch [1/50], Batch: 0 Loss: 0.8741, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 2.2111, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 0.8893, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 0 Loss: 1.0417, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 1.7245, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 1.5197, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 0 Loss: 0.9504, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 1.3689, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 1.2262, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.5463, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 1.2896, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 0.2172, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.5442, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 0.9694, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 0.7948, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.9834, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 0.7241, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 0.6494, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.2164, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 20 Loss: 0.7993, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 20 Loss: 0.0518, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.2002, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 20 Loss: 0.4942, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 20 Loss: 0.4103, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.3470, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 20 Loss: 0.3873, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 20 Loss: 0.3139, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 30 Loss: 0.1655, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 30 Loss: 0.4793, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 30 Loss: 0.0329, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 30 Loss: 0.1613, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 30 Loss: 0.2506, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 30 Loss: 0.1727, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 30 Loss: 0.0933, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 30 Loss: 0.1919, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 30 Loss: 0.1425, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 40 Loss: 0.1473, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 40 Loss: 0.2500, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 40 Loss: 0.0275, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 40 Loss: 0.1483, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 40 Loss: 0.1278, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 40 Loss: 0.0606, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 40 Loss: 0.0703, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 40 Loss: 0.1220, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 40 Loss: 0.0549, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 50 Loss: 0.1326, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 50 Loss: 0.1678, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 50 Loss: 0.0257, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 50 Loss: 0.1485, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 50 Loss: 0.0914, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 50 Loss: 0.0315, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 50 Loss: 0.0809, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 50 Loss: 0.0746, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 50 Loss: 0.0261, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 60 Loss: 0.0916, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 60 Loss: 0.1148, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 60 Loss: 0.0208, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 60 Loss: 0.1104, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 60 Loss: 0.1425, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 60 Loss: 0.0348, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 60 Loss: 0.0588, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 60 Loss: 0.1018, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 60 Loss: 0.0514, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 70 Loss: 0.1025, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 70 Loss: 0.1249, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 70 Loss: 0.0268, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 70 Loss: 0.1593, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 70 Loss: 0.1099, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 70 Loss: 0.0377, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 70 Loss: 0.0756, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 70 Loss: 0.1031, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 70 Loss: 0.0327, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.0959, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.1216, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0329, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.1367, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.0948, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0315, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 80 Loss: 0.0847, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 80 Loss: 0.0860, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 80 Loss: 0.0371, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.1213, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.1134, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0222, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.1341, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.1152, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0291, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 90 Loss: 0.0604, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 90 Loss: 0.0801, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 90 Loss: 0.0368, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.1005, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0856, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0075, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.1059, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0565, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0128, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 100 Loss: 0.0407, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 100 Loss: 0.0454, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 100 Loss: 0.0127, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 110 Loss: 0.2398, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 110 Loss: 0.2582, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 110 Loss: 0.0544, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 110 Loss: 0.1215, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 110 Loss: 0.3779, n.gate: 1, t.gate: GateCNN
